filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
train_img_1.png,1913038,"{}",18,0,"{""name"":""rect"",""x"":354,""y"":633,""width"":103,""height"":44}","{}"
train_img_1.png,1913038,"{}",18,1,"{""name"":""rect"",""x"":494,""y"":625,""width"":105,""height"":51}","{}"
train_img_1.png,1913038,"{}",18,2,"{""name"":""rect"",""x"":475,""y"":686,""width"":97,""height"":42}","{}"
train_img_1.png,1913038,"{}",18,3,"{""name"":""rect"",""x"":344,""y"":681,""width"":91,""height"":46}","{}"
train_img_1.png,1913038,"{}",18,4,"{""name"":""rect"",""x"":935,""y"":597,""width"":51,""height"":89}","{}"
train_img_1.png,1913038,"{}",18,5,"{""name"":""rect"",""x"":933,""y"":346,""width"":46,""height"":97}","{}"
train_img_1.png,1913038,"{}",18,6,"{""name"":""rect"",""x"":878,""y"":234,""width"":44,""height"":80}","{}"
train_img_1.png,1913038,"{}",18,7,"{""name"":""rect"",""x"":943,""y"":116,""width"":49,""height"":99}","{}"
train_img_1.png,1913038,"{}",18,8,"{""name"":""rect"",""x"":990,""y"":300,""width"":46,""height"":97}","{}"
train_img_1.png,1913038,"{}",18,9,"{""name"":""rect"",""x"":1072,""y"":217,""width"":44,""height"":99}","{}"
train_img_1.png,1913038,"{}",18,10,"{""name"":""rect"",""x"":1521,""y"":504,""width"":95,""height"":49}","{}"
train_img_1.png,1913038,"{}",18,11,"{""name"":""rect"",""x"":1629,""y"":454,""width"":99,""height"":46}","{}"
train_img_1.png,1913038,"{}",18,12,"{""name"":""rect"",""x"":1770,""y"":496,""width"":95,""height"":44}","{}"
train_img_1.png,1913038,"{}",18,13,"{""name"":""rect"",""x"":1194,""y"":1019,""width"":53,""height"":57}","{}"
train_img_1.png,1913038,"{}",18,14,"{""name"":""rect"",""x"":1097,""y"":1057,""width"":42,""height"":19}","{}"
train_img_1.png,1913038,"{}",18,15,"{""name"":""rect"",""x"":601,""y"":728,""width"":274,""height"":78}","{}"
train_img_1.png,1913038,"{}",18,16,"{""name"":""rect"",""x"":975,""y"":2,""width"":30,""height"":27}","{}"
train_img_1.png,1913038,"{}",18,17,"{""name"":""rect"",""x"":1089,""y"":0,""width"":32,""height"":21}","{}"
train_img_2.png,2396141,"{}",23,0,"{""name"":""rect"",""x"":464,""y"":515,""width"":211,""height"":78}","{}"
train_img_2.png,2396141,"{}",23,1,"{""name"":""rect"",""x"":420,""y"":631,""width"":89,""height"":44}","{}"
train_img_2.png,2396141,"{}",23,2,"{""name"":""rect"",""x"":622,""y"":612,""width"":89,""height"":61}","{}"
train_img_2.png,2396141,"{}",23,3,"{""name"":""rect"",""x"":1264,""y"":544,""width"":89,""height"":44}","{}"
train_img_2.png,2396141,"{}",23,4,"{""name"":""rect"",""x"":844,""y"":829,""width"":61,""height"":78}","{}"
train_img_2.png,2396141,"{}",23,5,"{""name"":""rect"",""x"":916,""y"":793,""width"":46,""height"":80}","{}"
train_img_2.png,2396141,"{}",23,6,"{""name"":""rect"",""x"":884,""y"":1011,""width"":51,""height"":68}","{}"
train_img_2.png,2396141,"{}",23,7,"{""name"":""rect"",""x"":1802,""y"":329,""width"":116,""height"":61}","{}"
